Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1899,-.17,-.19,-.14,-.22,-.11,-.19,-1.03,-.05,-.14,-.15,-.08,-.15,-.22,.55
1900,-.07,-.07,-.07,-.18,.18,-.30,-.56,-.10,-.15,.11,.25,-.28,-.29,.24
1901,-.15,-.11,-.18,-.16,-.03,-.30,-.44,-.08,-.14,-.05,-.01,-.27,-.33,.23
1902,-.27,-.32,-.22,-.53,-.03,-.35,-1.42,-.49,-.33,-.01,-.05,-.28,-.43,-.08
1903,-.36,-.37,-.36,-.46,-.28,-.38,-.30,-.40,-.56,-.22,-.34,-.35,-.40,-.49
1904,-.46,-.47,-.46,-.50,-.46,-.44,-.19,-.57,-.55,-.42,-.50,-.37,-.49,-1.31
1905,-.26,-.28,-.23,-.40,-.08,-.36,-.08,-.20,-.62,-.11,-.06,-.33,-.37,-.33
1906,-.22,-.22,-.22,-.25,-.19,-.23,-.28,-.04,-.39,-.19,-.19,-.20,-.22,-.71
1907,-.38,-.46,-.30,-.58,-.30,-.29,-.60,-.70,-.51,-.28,-.32,-.21,-.36,-1.19
1908,-.42,-.44,-.41,-.47,-.43,-.36,-.26,-.52,-.51,-.40,-.47,-.29,-.48,.68
1909,-.48,-.48,-.48,-.53,-.48,-.44,-.77,-.60,-.43,-.42,-.53,-.37,-.52,-.56
1910,-.43,-.43,-.43,-.41,-.48,-.38,-.60,-.22,-.49,-.46,-.49,-.33,-.45,.17
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.31,-.40,-.47,-.41,-.43,-.43,-.53,.06
1912,-.36,-.45,-.25,-.59,-.18,-.36,-.52,-.77,-.50,-.26,-.09,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.43,-.27,-.35,-.51,-.31,-.50,-.39,-.15,-.28,-.40,-1.03
1914,-.15,-.19,-.11,-.24,-.07,-.18,-.38,-.14,-.28,-.11,-.02,-.15,-.18,-.36
1915,-.14,-.14,-.13,-.23,-.01,-.22,-.61,-.15,-.19,.00,-.03,-.15,-.23,-1.98
1916,-.36,-.42,-.31,-.37,-.45,-.23,-.50,-.52,-.24,-.49,-.41,-.22,-.17,-1.04
1917,-.46,-.57,-.36,-.50,-.63,-.18,-.84,-.48,-.43,-.68,-.59,-.22,-.09,.07
1918,-.29,-.39,-.20,-.40,-.33,-.13,-1.02,-.25,-.35,-.37,-.29,-.05,-.23,-.27
1919,-.27,-.34,-.20,-.43,-.19,-.22,-.71,-.54,-.30,-.21,-.18,-.14,-.32,.20
1920,-.27,-.30,-.25,-.25,-.26,-.32,-.02,-.19,-.35,-.36,-.14,-.19,-.48,-1.14
1921,-.19,-.11,-.27,.01,-.25,-.31,-.03,.18,-.09,-.28,-.22,-.22,-.38,-.83
1922,-.28,-.27,-.30,-.24,-.32,-.27,-.33,-.39,-.13,-.31,-.32,-.24,-.28,-.27
1923,-.26,-.21,-.31,-.15,-.29,-.33,.15,-.14,-.25,-.31,-.28,-.26,-.41,-.54
1924,-.27,-.18,-.36,-.13,-.26,-.43,.44,-.24,-.23,-.26,-.25,-.39,-.45,-.52
1925,-.22,-.13,-.30,-.04,-.24,-.37,-.09,.19,-.19,-.27,-.21,-.24,-.55,-.85
1926,-.10,.02,-.22,.03,.02,-.40,.56,.17,-.22,.02,.02,-.34,-.45,-.63
1927,-.22,-.13,-.30,-.13,-.16,-.38,.01,-.20,-.13,-.13,-.19,-.30,-.45,-1.37
1928,-.20,-.09,-.30,-.06,-.15,-.39,.71,-.16,-.23,-.13,-.17,-.28,-.48,-2.12
1929,-.36,-.33,-.38,-.38,-.28,-.45,.14,-.60,-.39,-.27,-.29,-.42,-.44,-1.07
1930,-.16,-.02,-.29,.04,-.11,-.42,.53,.05,-.12,-.09,-.13,-.32,-.47,-2.59
1931,-.10,.04,-.22,.01,.07,-.43,.56,-.03,-.15,.09,.05,-.42,-.40,-.41
1932,-.16,-.06,-.26,.04,-.17,-.35,.48,.20,-.21,-.20,-.14,-.21,-.53,-.98
1933,-.29,-.26,-.32,-.24,-.28,-.34,-.16,-.46,-.12,-.29,-.28,-.21,-.48,-1.14
1934,-.13,.00,-.26,.18,-.26,-.26,.88,.31,-.13,-.26,-.25,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.05,-.19,-.38,.34,-.04,-.16,-.17,-.21,-.30,-.41,-1.71
1936,-.15,-.03,-.26,-.03,-.13,-.30,.39,.11,-.25,-.05,-.21,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.06,-.22,1.23,.03,-.02,.00,-.12,-.19,-.26,.37
1938,-.01,.16,-.18,.39,-.23,-.10,1.50,.39,.03,-.18,-.28,-.06,-.11,-.86
1939,-.02,.09,-.13,.23,-.12,-.12,.56,.28,.08,-.11,-.14,-.04,-.18,-1.60
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.27,.29,.03,-.20,-.05
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.08,.55,.44,.04,-.15,-.46
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.12,.03,.06,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.42,.28,.11,-.10,-.07,.07,.00,1.14
1944,.20,.27,.14,.38,.18,.05,1.18,.47,.09,.11,.26,.19,-.10,-.91
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.10,.24,.04,.00,-1.75
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.17,-.02,-.08,-.22,-.24,-.14
1947,-.03,.08,-.14,.16,-.06,-.16,1.07,-.13,.04,-.03,-.10,-.19,-.08,-.18
1948,-.11,-.01,-.20,.13,-.18,-.24,.12,.32,.01,-.22,-.14,-.19,-.19,-1.35
1949,-.11,-.03,-.19,.11,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.21,-.05,-.29,-.14,.19,-.30,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,-.01,-.12,-.21,-.16,-.69
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.18,-.01,.04,-.10,-.02,-.48
1953,.08,.24,-.07,.35,.07,-.18,1.02,.36,.14,.08,.06,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.28,-.17,-.20,-.80
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.13,.02,.76
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.48
1958,.06,.15,-.02,.08,.20,-.14,-.17,.15,.12,.25,.15,-.08,-.08,-.47
1959,.03,.12,-.06,.16,.07,-.15,.48,.18,.04,.07,.08,-.03,-.26,-.33
1960,-.02,.08,-.12,.09,.02,-.19,.34,-.07,.11,.06,-.02,-.10,-.07,-.70
1961,.06,.08,.03,.19,-.04,.06,-.15,.38,.18,-.07,.00,.14,-.17,.25
1962,.04,.12,-.05,.24,-.05,-.06,.45,.31,.14,-.05,-.05,.09,-.07,-.55
1963,.05,.14,-.03,.14,.11,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.21,-.23,-.14,-.25,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.40
1965,-.11,-.14,-.07,-.19,-.03,-.14,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.03
1966,-.06,-.02,-.09,-.14,.08,-.16,-.76,-.19,.09,.16,-.01,-.24,-.14,.05
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.29
1968,-.08,-.07,-.09,-.11,-.06,-.08,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.03
1969,.06,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.09
1970,.02,-.04,.09,-.11,.07,.10,-.21,-.13,-.06,.07,.06,.11,.03,.26
1971,-.08,-.15,-.02,-.06,-.26,.12,-.08,.01,-.10,-.29,-.22,.03,.16,.40
1972,.01,-.17,.19,-.34,.17,.14,-.37,-.47,-.24,.07,.26,.16,-.02,.40
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.29,.21,.08,.33
1974,-.07,-.18,.03,-.14,-.20,.17,-.19,-.07,-.18,-.23,-.17,.21,-.08,.64
1975,-.01,-.05,.02,.12,-.24,.15,.10,.39,-.05,-.30,-.17,.13,.14,.25
1976,-.10,-.20,.00,-.26,-.11,.08,-.07,-.32,-.28,-.12,-.10,.10,.22,-.28
1977,.18,.12,.23,.14,.16,.25,.16,.24,.07,.10,.21,.21,.31,.24
1978,.07,.02,.11,-.03,.08,.16,-.15,.03,-.03,.10,.05,.21,.13,.03
1979,.16,.09,.24,-.03,.26,.23,-.61,.07,.09,.26,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.03,.33,.29,.35,.37,.57
1981,.32,.37,.27,.48,.18,.35,1.09,.78,.09,.22,.14,.28,.39,.56
1982,.14,.06,.22,-.08,.27,.18,-.40,.09,-.08,.25,.29,.18,.32,-.12
1983,.31,.25,.37,.22,.44,.23,.19,.69,-.06,.30,.57,.21,.41,-.03
1984,.16,.04,.27,.02,.19,.25,.37,.08,-.13,.08,.30,.16,.32,.47
1985,.12,.00,.23,-.03,.09,.29,.39,-.27,-.01,.05,.14,.30,.44,.00
1986,.18,.14,.23,.11,.23,.20,.01,.28,.04,.18,.27,.25,.25,-.10
1987,.32,.25,.40,.05,.59,.25,-.36,.13,.12,.56,.62,.32,.25,.02
1988,.39,.38,.40,.41,.38,.38,.59,.57,.24,.33,.42,.38,.20,.77
1989,.27,.27,.27,.41,.13,.33,.34,.69,.26,.07,.19,.36,.30,.31
1990,.45,.53,.37,.63,.38,.37,.58,.88,.49,.39,.36,.37,.37,.38
1991,.41,.42,.40,.47,.37,.39,.75,.66,.26,.33,.41,.31,.29,.90
1992,.22,.14,.30,.10,.29,.26,-.16,.44,-.03,.21,.37,.20,.33,.35
1993,.23,.19,.28,.13,.33,.22,.54,.29,-.11,.29,.36,.26,.39,-.31
1994,.32,.38,.26,.43,.32,.20,.34,.50,.42,.29,.34,.26,.23,-.06
1995,.45,.58,.32,.70,.43,.22,1.31,.98,.32,.41,.45,.29,.15,.16
1996,.33,.27,.39,.23,.32,.43,.77,.17,.11,.32,.32,.32,.28,1.20
1997,.47,.52,.42,.54,.51,.33,.76,.90,.23,.51,.52,.42,.36,.02
1998,.61,.71,.52,.78,.70,.33,.85,.94,.66,.60,.79,.39,.31,.18
1999,.39,.49,.29,.70,.21,.31,.39,.80,.74,.17,.25,.46,.19,.05
2000,.40,.50,.29,.70,.25,.29,.97,.80,.56,.22,.29,.41,.10,.27
2001,.54,.65,.44,.81,.43,.43,1.06,.86,.69,.41,.45,.58,.24,.30
2002,.63,.72,.54,.83,.60,.47,1.26,1.00,.59,.56,.64,.49,.32,.74
2003,.62,.75,.50,.84,.64,.38,1.50,.98,.54,.62,.67,.44,.24,.45
2004,.54,.66,.42,.73,.55,.34,.47,.96,.67,.57,.54,.48,.23,.07
2005,.68,.86,.51,1.02,.63,.42,1.99,1.23,.58,.63,.63,.49,.18,.71
2006,.64,.82,.46,.99,.56,.40,1.73,1.06,.70,.57,.55,.51,.19,.44
2007,.66,.86,.47,1.13,.47,.46,2.12,1.32,.70,.45,.48,.50,.07,1.17
2008,.54,.69,.40,.92,.38,.39,1.54,1.08,.62,.34,.42,.53,.09,.56
2009,.66,.73,.59,.78,.69,.50,1.42,.60,.69,.66,.71,.61,.15,.91
2010,.73,.91,.55,1.03,.69,.47,2.22,.87,.75,.72,.66,.64,.20,.47
2011,.61,.75,.47,.99,.38,.54,2.34,.94,.59,.39,.36,.65,.18,.99
2012,.65,.82,.48,1.05,.53,.40,2.21,.93,.75,.48,.58,.56,.19,.28
2013,.69,.80,.57,.95,.59,.55,1.55,1.04,.70,.59,.59,.63,.23,.98
2014,.75,.92,.58,1.07,.68,.52,2.03,1.12,.74,.69,.66,.73,.18,.51
2015,.90,1.18,.63,1.32,.96,.41,1.99,1.47,1.00,.98,.95,.76,.18,-.35
2016,1.02,1.31,.73,1.55,1.02,.49,3.23,1.43,1.08,.96,1.07,.68,.26,.37
2017,.93,1.18,.67,1.39,.83,.60,2.51,1.37,1.05,.87,.78,.77,.35,.53
2018,.85,1.04,.67,1.25,.69,.68,2.15,1.09,1.07,.73,.64,.80,.38,.93
2019,.98,1.22,.75,1.42,.91,.65,2.69,1.43,1.00,.92,.90,.75,.40,.84
